id,id_type,date,time,time of day,temperature,observed,predicted,correct_microhabitat,observed_above/below,predicted_above/below,correct_above_below,%success_microhabitat,%success_above/open
12,lizard,7/6/18,7:50,morning,37.15,open,open,1,above,above,1,78.6,60.5
12,lizard,7/2/18,7:50,morning,43.12,shrub,open,0,above,above,1,42.1,60.5
20,lizard,7/6/18,8:00,morning,28.9,burrow,burrow,1,below,below,1,50.9,60.5
12B,lizard,7/6/18,8:00,morning,27.69,burrow,burrow,1,below,below,1,50.9,60.5
20,lizard,7/2/18,8:10,morning,29.21,burrow,burrow,1,below,below,1,50.9,60.5
12B,lizard,7/2/18,8:10,morning,29.84,burrow,burrow,1,below,below,1,50.9,60.5
25,lizard,7/6/18,8:10,morning,42.85,burrow,open,0,below,above,0,28.9,39.5
200,lizard,7/2/18,8:30,morning,36.76,shrub,open,0,above,above,1,42.1,60.5
7,lizard,7/2/18,8:40,morning,29.88,burrow,burrow,1,below,below,1,50.9,60.5
16,lizard,7/6/18,8:40,morning,36.67,open,shrub,0,above,above,1,21.4,60.5
26,lizard,7/2/18,8:50,morning,29.69,burrow,burrow,1,below,below,1,50.9,60.5
22,lizard,7/2/18,8:50,morning,38.16,burrow,shrub,0,below,above,0,20.2,39.5
26,lizard,7/6/18,9:00,morning,29.45,burrow,burrow,1,below,below,1,50.9,60.5
30,lizard,7/2/18,9:00,morning,29.44,burrow,burrow,1,below,below,1,50.9,60.5
30,lizard,7/6/18,9:10,morning,28.5,burrow,burrow,1,below,below,1,50.9,60.5
47,lizard,7/2/18,9:20,morning,26.63,burrow,burrow,1,below,below,1,50.9,60.5
56,lizard,7/6/18,9:20,morning,28.61,burrow,burrow,1,below,below,1,50.9,60.5
22,lizard,7/6/18,9:20,morning,38.36,open,shrub,0,above,above,1,21.4,60.5
19,lizard,7/2/18,9:30,morning,30.61,burrow,burrow,1,below,below,1,50.9,60.5
93,lizard,7/2/18,9:30,morning,29.55,burrow,burrow,1,below,below,1,50.9,60.5
1337,lizard,7/2/18,9:30,morning,29.9,burrow,burrow,1,below,below,1,50.9,60.5
12,lizard,7/4/18,9:30,morning,32.58,open,shrub,0,above,above,1,21.4,60.5
20,lizard,7/4/18,9:40,morning,27.29,burrow,burrow,1,below,below,1,50.9,60.5
25,lizard,7/4/18,9:40,morning,42.13,burrow,open,0,below,above,0,28.9,39.5
12B,lizard,7/4/18,9:40,morning,27.75,burrow,open,0,below,above,0,28.9,39.5
9,lizard,7/6/18,9:40,morning,39.99,shrub,open,0,above,above,1,42.1,60.5
44,lizard,7/2/18,9:50,morning,41.15,shrub,open,0,above,above,1,42.1,60.5
39,lizard,7/2/18,10:00,morning,39.24,shrub,shrub,1,above,above,1,47.4,60.5
44,lizard,7/6/18,10:10,morning,30.57,burrow,burrow,1,below,below,1,50.9,60.5
200,lizard,7/4/18,10:10,morning,37.45,open,open,1,above,above,1,78.6,60.5
16,lizard,7/4/18,10:20,morning,41.92,open,open,1,above,above,1,78.6,60.5
39,lizard,7/6/18,10:20,morning,51.2,open,open,1,above,above,1,78.6,60.5
26,lizard,7/4/18,10:40,morning,28.82,burrow,burrow,1,below,below,1,50.9,60.5
30,lizard,7/4/18,11:00,morning,27.82,burrow,burrow,1,below,below,1,50.9,60.5
22,lizard,7/4/18,11:00,morning,40.29,burrow,open,0,below,above,0,28.9,39.5
56,lizard,7/4/18,11:10,morning,28.34,burrow,burrow,1,below,below,1,50.9,60.5
9,lizard,7/4/18,11:10,morning,39.71,open,open,1,above,above,1,78.6,60.5
47,lizard,7/7/18,11:20,morning,36.78,burrow,shrub,0,below,above,0,20.2,39.5
20,lizard,7/1/18,11:30,morning,31.7,burrow,burrow,1,below,below,1,50.9,60.5
47,lizard,7/1/18,11:30,morning,35.22,burrow,shrub,0,below,above,0,20.2,39.5
12,lizard,7/7/18,11:30,morning,43.43,shrub,shrub,1,above,above,1,47.4,60.5
19,lizard,7/1/18,11:40,morning,32.5,burrow,burrow,1,below,below,1,50.9,60.5
12B,lizard,7/7/18,11:50,morning,31.91,burrow,burrow,1,below,below,1,50.9,60.5
25,lizard,7/7/18,11:50,morning,44.55,burrow,open,0,below,above,0,28.9,39.5
93,lizard,7/1/18,12:00,midday,30.53,burrow,burrow,1,below,below,1,50.9,60.5
16,lizard,7/7/18,12:20,midday,33.78,burrow,burrow,1,below,below,1,50.9,60.5
20,lizard,7/18/18,12:40,midday,34.78,burrow,burrow,1,below,below,1,50.9,60.5
1337,lizard,7/8/18,12:40,midday,32.4,burrow,burrow,1,below,below,1,50.9,60.5
47,lizard,7/8/18,12:40,midday,52.26,burrow,open,0,below,above,0,28.9,39.5
19,lizard,7/8/18,12:50,midday,35.05,burrow,burrow,1,below,below,1,50.9,60.5
93,lizard,7/8/18,12:50,midday,32.39,burrow,burrow,1,below,below,1,50.9,60.5
25,lizard,7/18/18,12:50,midday,46.37,burrow,open,0,below,above,0,28.9,39.5
56,lizard,7/7/18,12:50,midday,45.26,burrow,open,0,below,above,0,28.9,39.5
22,lizard,7/7/18,12:50,midday,40.31,burrow,shrub,0,below,above,0,20.2,39.5
12B,lizard,7/18/18,13:00,midday,54.69,burrow,open,0,below,above,0,28.9,39.5
44,lizard,7/1/18,13:00,midday,44.82,shrub,open,0,above,above,1,42.1,60.5
16,lizard,7/18/18,13:10,midday,33.88,burrow,burrow,1,below,below,1,50.9,60.5
130,lizard,7/8/18,13:10,midday,45.96,burrow,open,0,below,above,0,28.9,39.5
26,lizard,7/18/18,13:20,midday,34.3,burrow,burrow,1,below,below,1,50.9,60.5
